owner,name,stars,pr_count
freeCodeCamp,freeCodeCamp,404487,37584
EbookFoundation,free-programming-books,336757,10263
sindresorhus,awesome,329970,2032
public-apis,public-apis,316011,2923
jwasham,coding-interview-university,305992,995
codecrafters-io,build-your-own-x,305391,265
kamranahmedse,developer-roadmap,295063,4465
donnemartin,system-design-primer,273288,319
996icu,996.ICU,269838,1984
facebook,react,228600,16116
vinta,awesome-python,222509,1535
vuejs,vue,207872,2304
practical-tutorials,project-based-learning,201838,345
awesome-selfhosted,awesome-selfhosted,199986,3037
TheAlgorithms,Python,193264,9874
trekhleb,javascript-algorithms,188095,536
tensorflow,tensorflow,186184,34013
torvalds,linux,180902,537
getify,You-Dont-Know-JS,179522,846
CyC2018,CS-Notes,176474,552
ohmyzsh,ohmyzsh,173427,7088
ossu,computer-science,171643,442
twbs,bootstrap,170488,15221
Significant-Gravitas,AutoGPT,167733,4444
flutter,flutter,165678,56440
microsoft,vscode,163679,33197
github,gitignore,161939,3955
jackfrued,Python-100-Days,155853,153
jlevy,the-art-of-command-line,153350,464
trimstray,the-book-of-secret-knowledge,146811,214
Snailclimb,JavaGuide,146551,1369
airbnb,javascript,145093,1534
AUTOMATIC1111,stable-diffusion-webui,141618,3091
huggingface,transformers,133873,17452
ytdl-org,youtube-dl,132001,4451
avelino,awesome-go,131173,4549
vercel,next.js,126156,24160
labuladong,fucking-algorithm,125553,463
golang,go,123682,3745
Chalarangelo,30-seconds-of-code,121557,1615
facebook,react-native,118817,18855
yangshun,tech-interview-handbook,118247,538
electron,electron,114186,23305
f,awesome-chatgpt-prompts,111907,303
justjavac,free-programming-books-zh_CN,111526,435
Genymobile,scrcpy,110823,423
microsoft,PowerToys,110768,5501
kubernetes,kubernetes,110624,81033
d3,d3,108746,1178
nodejs,node,107371,34573
axios,axios,105603,1539
facebook,create-react-app,102710,3805
mrdoob,three.js,102362,16791
microsoft,TypeScript,100783,17708
goldbergyoni,nodebestpractices,99901,921
rust-lang,rust,97936,76131
krahets,hello-algo,97605,1059
denoland,deno,96805,14001
angular,angular,96079,28367
microsoft,terminal,95401,4419
ollama,ollama,94609,2158
langchain-ai,langchain,93892,15296
mui,material-ui,93731,23322
ant-design,ant-design,92281,18232
ryanmcdermott,clean-code-javascript,91572,253
godotengine,godot,90511,41297
iluwatar,java-design-patterns,89756,2080
ripienaar,free-for-dev,89440,3383
puppeteer,puppeteer,88570,6110
PanJiaChen,vue-element-admin,87791,476
papers-we-love,papers-we-love,87684,516
yt-dlp,yt-dlp,85858,2886
fatedier,frp,85619,905
iptv-org,iptv,85607,7126
nvbn,thefuck,85161,610
storybookjs,storybook,84445,12747
Hack-with-Github,Awesome-Hacking,84235,108
tauri-apps,tauri,83952,4988
microsoft,Web-Dev-For-Beginners,83332,812
excalidraw,excalidraw,83315,4366
pytorch,pytorch,83252,91364
mtdvio,every-programmer-should-know,83232,144
neovim,neovim,82750,18247
tailwindlabs,tailwindcss,82643,2954
animate-css,animate.css,80735,888
gothinkster,realworld,80488,835
florinpop17,app-ideas,80219,340
django,django,79769,18390
nvm-sh,nvm,79702,1017
sveltejs,svelte,79253,6005
bitcoin,bitcoin,78998,21160
opencv,opencv,78705,15231
laravel,laravel,78605,4817
gin-gonic,gin,78575,1608
macrozheng,mall,77748,117
tonsky,FiraCode,77097,187
tensorflow,models,77037,3644
fastapi,fastapi,76806,3423
jaywcjlove,awesome-mac,76333,1011
doocs,advanced-java,75913,126
ChatGPTNextWeb,ChatGPT-Next-Web,75907,2142
gohugoio,hugo,75459,5345
spring-projects,spring-boot,74990,6444
rustdesk,rustdesk,74521,3502
oven-sh,bun,73898,4776
FortAwesome,Font-Awesome,73641,669
supabase,supabase,72979,11743
typicode,json-server,72805,316
shadcn-ui,ui,72749,862
home-assistant,core,72742,74728
vuejs,awesome-vue,72077,3891
mermaid-js,mermaid,71669,2588
netdata,netdata,71635,10348
DopplerHQ,awesome-interview-questions,71074,209
nomic-ai,gpt4all,70179,1018
openai,whisper,70121,181
elastic,elasticsearch,69947,77622
microsoft,ML-For-Beginners,69541,499
anuraghazra,github-readme-stats,69110,2168
3b1b,manim,68975,822
thedaviddias,Front-End-Checklist,68894,304
moby,moby,68651,25042
MunGell,awesome-for-beginners,68588,1292
2dust,v2rayN,68534,307
base-org,node,68254,158
coder,code-server,68198,1889
vitejs,vite,68093,6060
pallets,flask,67911,2587
hakimel,reveal.js,67789,983
swiftlang,swift,67506,56825
nestjs,nest,67406,8253
Developer-Y,cs-video-courses,67013,199
Anduin2017,HowToCook,66979,680
redis,redis,66799,6249
ggerganov,llama.cpp,66762,4119
microsoft,playwright,66451,15238
bregman-arie,devops-exercises,66375,368
josephmisiti,awesome-machine-learning,65756,897
protocolbuffers,protobuf,65541,12364
expressjs,express,65491,1558
enaqx,awesome-react,65211,1299
binary-husky,gpt_academic,65042,294
hoppscotch,hoppscotch,64958,2414
syncthing,syncthing,64795,4181
junegunn,fzf,64744,885
webpack,webpack,64647,6914
chartjs,Chart.js,64623,3799
grafana,grafana,64527,54547
microsoft,generative-ai-for-beginners,64435,378
leonardomso,33-js-concepts,63597,394
strapi,strapi,63470,10739
python,cpython,63156,53761
d2l-ai,d2l-zh,62956,1256
ansible,ansible,62698,50988
lydiahallie,javascript-questions,62669,512
FuelLabs,sway,62645,3526
ventoy,Ventoy,62434,417
apache,superset,62402,16610
twitter,the-algorithm,62225,344
resume,resume.github.com,61953,172
keras-team,keras,61920,7489
tesseract-ocr,tesseract,61873,1615
sdmg15,Best-websites-a-programmer-should-visit,61438,917
socketio,socket.io,61077,859
swisskyrepo,PayloadsAllTheThings,60895,633
reduxjs,redux,60884,2548
ocornut,imgui,60704,1238
kelseyhightower,nocode,60693,167
awesomedata,awesome-public-datasets,60648,284
xtekky,gpt4free,60483,735
apache,echarts,60457,1755
atom,atom,60201,5249
obsproject,obs-studio,59902,6644
scikit-learn,scikit-learn,59863,17379
sherlock-project,sherlock,59771,1003
lodash,lodash,59770,1382
TheAlgorithms,Java,59761,4495
h5bp,Front-end-Developer-Interview-Questions,59647,701
fffaraz,awesome-cpp,59478,897
openai,openai-cookbook,59407,858
jquery,jquery,59203,3027
Eugeny,tabby,58965,3915
angular,angular.js,58818,7923
bradtraversy,design-resources-for-developers,58690,1340
shadowsocks,shadowsocks-windows,58397,481
sindresorhus,awesome-nodejs,58286,1110
chrislgarry,Apollo-11,58193,438
danielmiessler,SecLists,58033,767
FuelLabs,fuel-core,58022,1406
caddyserver,caddy,57937,2406
louislam,uptime-kuma,57824,1512
PKUFlyingPig,cs-self-learning,57102,294
AppFlowy-IO,AppFlowy,57085,3525
prakhar1989,awesome-courses,57084,251
h5bp,html5-boilerplate,56506,1738
spring-projects,spring-framework,56492,4943
facebook,docusaurus,56341,6116
alacritty,alacritty,56161,2353
meta-llama,llama,56111,144
localstack,localstack,55990,5957
